#OTU ID	HP01	HP02	HP03	HP04	HP05	HP06	HP09	HP10	HP11	HP12	HP13	HP14	HP15	MD01	MD02	MD03	MD04	MD05	MD06	MD07	MD08	MD09	MD10	MD11	MD12	MD13	MD14	MD15	MD16
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__	0.0	9.0	0.0	0.0	8.0	0.0	184.0	0.0	241.0	72.0	0.0	7.0	69.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	980.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella	8.0	0.0	0.0	0.0	0.0	20.0	56.0	186.0	27.0	17.0	0.0	0.0	330.0	13.0	23.0	238.0	39.0	7.0	0.0	15.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	98.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella	0.0	0.0	0.0	0.0	6.0	0.0	35.0	4.0	52.0	0.0	9.0	4.0	196.0	5.0	8.0	10.0	0.0	3.0	83.0	25.0	16.0	46.0	0.0	0.0	0.0	7.0	0.0	489.0	28.0
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Fretibacterium	0.0	0.0	0.0	0.0	0.0	11.0	0.0	104.0	0.0	0.0	0.0	0.0	340.0	7.0	386.0	53.0	140.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Eikenella	0.0	0.0	31.0	0.0	0.0	8.0	49.0	19.0	127.0	8.0	0.0	0.0	389.0	0.0	97.0	0.0	0.0	0.0	17.0	32.0	0.0	38.0	0.0	13.0	0.0	24.0	0.0	35.0	72.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__[Eubacterium]_yurii_group	0.0	11.0	0.0	0.0	0.0	11.0	125.0	11.0	132.0	0.0	0.0	0.0	453.0	0.0	138.0	38.0	17.0	19.0	21.0	0.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011	0.0	0.0	0.0	0.0	0.0	3.0	41.0	10.0	8.0	0.0	7.0	0.0	395.0	0.0	247.0	0.0	9.0	4.0	25.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	403.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;__	0.0	22.0	0.0	0.0	0.0	14.0	9.0	54.0	51.0	14.0	0.0	0.0	62.0	16.0	89.0	210.0	74.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	63.0
